CustomerID,Name,Email,Date,Amount,Country
73,Jennifer    Ade,jennifer17@gmail.com,2021-06-26,196.06,Kenya
151,Musa Doe,musa43@gmail.com,2021-09-28,381.38,Ghana
85,Aisha Ali,aisha33@company.ng,2023-04-01,349.69,Ghana
26,Aisha Otto,aisha56@yahoo.com,2023-05-02,272.15,Kenya
41,Samuelsmith,samuelsmith63@company.ng,2022-11-07,127.35,Kenya
158,Mike Mensah,mike24@gmail.com,2022-01-07,421.88,Nigeria
53,Grace  Oladipo,grace52@hotmail.com,2023-08-14,250.85,Ghana
175,Musty John,musty43@mail.com,2021-04-20,370.99,Ghana
74,Peace Khan,peace2@hotmail.com,2024-01-28,110.87,Ghana
127,John   Ali,john59@company.ng,2021-06-03,458.57,Ghana
43,Samuel Smith,samuel79@mail.com,2022-09-26,313.06,Kenya
57,Jennifer   Amusa,jennifer76@yahoo.com,2024-11-12,361.92,Kenya
101,Mikejohn,mikejohn61@yahoo.com,2023-05-05,56.62,Nigeria
22,Peace   Amusa,peace6@company.ng,2022-07-10,510.42,Nigeria
43,Jenniferoladipo,jenniferoladipo91@hotmail.com,2022-02-05,226.05,Ghana
158,Grace   Rahman,grace11@company.ng,2024-12-01,434.94,Kenya
29,Mary  Mensah,mary77@mail.com,2021-01-24,264.88,Ghana
79,Jane  Ade,jane92@yahoo.com,2023-04-26,371.07,Ghana
139,Samuelali,samuelali62@company.ng,2021-12-30,423.31,Ghana
99,Peaceotto,peaceotto45@mail.com,2024-08-26,166.57,Nigeria
34,Jennifer Otto,jennifer86@yahoo.com,2021-07-11,92.96,Nigeria
166,Samuel  Otto,samuelotto23@yahoo.com,2022-11-03,360.61,south africa
126,Mary Okoro,mary69@yahoo.com,2023-12-10,422.03,Nigeria
153,John   Mensah,john68@hotmail.com,2023-02-05,877.91,Nigeria
119,Aisharahman,aisharahman78@yahoo.com,2024-02-10,255.15,Kenya
122,Samuelokoro,samuelokoro74@company.ng,2021-12-21,424.08,Ghana
161,Mikeamusa,mikeamusa41@company.ng,2024-01-07,271.15,Kenya
72,Musty   Oladipo,musty93@yahoo.com,2024-12-28,423.38,south africa
179,Danielali,danielali92@company.ng,2024-08-21,399.32,Nigeria
50,Johnotto,johnotto91@mail.com,2022-01-18,193.85,Nigeria
117,Marykhan,marykhan93@hotmailcom,2021-05-30,288.83,Ghana
137,Samuel  Ade,samuel29@company.ng,2021-07-03,528.45,Nigeria
132,Abdulkhan,abdulkhan7@hotmail.com,2023-03-31,222.26,Kenya
92,Mary   Ali,mary12@hotmail.com,2022-10-27,112.83,Ghana
158,Abdul  Ade,abdul98@yahoo.com,2023-10-16,241.18,Ghana
39,Peacekhan,peacekhan42@mail.com,2023-04-22,230.9,Kenya
11,Samuel John,samuel46@gmail.com,2021-11-13,347.14,Nigeria
10,Daniel Khan,daniel66@hotmail.com,2021-04-22,353.67,Nigeria
124,Mike  Smith,mike69@hotmail.com,2022-01-03,418.65,uganda
132,Rahmondoe,rahmondoe81@mail.com,2022-08-13,5096.6,south africa
109,Musaali,musaali60@yahoo.com,2023-06-26,316.64,Kenya
151,Daniel   John,daniel37@gmail.com,2022-03-15,171.43,Nigeria
73,Peace  Mensah,peace42@hotmail.com,2024-01-29,564.82,Kenya
155,Johnoladipo,johnoladipo70@mailcom,2023-01-25,317.6,Nigeria
83,Musa   John,musajohn11@yahoo.com,2023-05-07,128.55,Ghana
109,Jennifer   John,jennifer72@company.ng,2022-09-21,306.84,Ghana
1,Jenniferjohn,jenniferjohn31@hotmail.com,2023-09-23,415.12,Nigeria
53,Samueldoe,samueldoe6@hotmail.com,2021-04-05,427.44,uganda
70,Peace  Khan,peace45@mail.com,2023-03-02,313.76,Nigeria
15,Danielamusa,danielamusa43@yahoo.com,2022-01-26,345.23,south africa
91,Gracemensah,gracemensah37@company.ng,2022-11-22,249.82,Kenya
81,Grace  Rahman,grace9@yahoo.com,2022-03-13,114.46,Ghana
91,Jennifer   Amusa,jennifer47@mail.com,2024-05-29,224.74,Ghana
