CustomerID,Name,Email,Date,Amount,Country
073,Jennifer    Ade,jennifer17@@gmail.com,26/06/21,196.06,kenya
151,musa doe,musa43@gmail.com,2021-28-09,381.38,Ghana
085,Aisha Ali,aisha33@company.ng, 2023/01/04 ,349.69,ghana
026,Aisha Otto,aisha56@yahoo.com,02-05-2023,272.15,kenya
041,SamuelSmith,samuelsmith63@company.ng,07/11/2022,127.35,Kenya
158,Mike Mensah,mike24@gmail.com,2022/01/07,421.88,Nigeria
053,Grace  Oladipo,grace52@hotmail.com,14-08-2023,250.85,ghana
175,Musty John,musty43@mail.com,2021-20-04,370.99,Ghana
074,Peace Khan,peace2@hotmail.com,01/28/2024,110.87,ghana
127,John   Ali,john59@@company.ng,03/06/21,458.57,Ghana
043,Samuel Smith,samuel79@mail.com,26/09/22,313.06,kenya
057,Jennifer   Amusa,jennifer76@yahoo.com,12/11/2024,361.92,kenya
101,MikeJohn,mikejohn61@yahoo.com,2023/05/05,-56.62,Nigeria
022,peace   amusa,peace6@company.ng,10-07-2022,510.42,Nigeria
043,JenniferOladipo,jenniferoladipo91@hotmail.com,05/02/2022,226.05,Ghana
158,Grace   Rahman,grace11@company.ng,01/12/24,434.94,kenya
029,mary  mensah,mary77@mail.com,24-01-2021,264.88,Ghana
079,Jane  Ade, jane92@yahoo.com ,04/26/2023,371.07,ghana
139,SamuelAli,samuelali62@@company.ng,12/30/2021,423.31,Ghana
099,PeaceOtto,peaceotto45@mail.com,2024/08/26,166.57,nigeria
034,Jennifer Otto,jennifer86@yahoo.com, 11/07/21 ,-92.96,nigeria
166,Samuel@@Otto,samuelotto23@yahoo.com,03-11-2022,360.61,South Africa
126,mary okoro,mary69@yahoo.com,2023-12-10,422.03,nigeria
153,John   Mensah,john68@hotmail.com,2023-02-05,877.91,nigeria
119,AishaRahman,aisharahman78@yahoo.com,10-02-2024,255.15,Kenya
122,SamuelOkoro,samuelokoro74@company.ng,2021/12/21,424.08,ghana
161,MikeAmusa,mikeamusa41@company.ng,07/01/24,271.15,kenya
072,Musty   Oladipo,musty93@yahoo.com, 28/12/24 ,423.38,South Africa
179,DanielAli,danielali92@company.ng,2024/08/21,399.32,nigeria
050,JohnOtto,johnotto91@mail.com,2022-18-01,193.85,NIGERIA
117,MaryKhan,marykhan93@@hotmailcom,30-05-2021,288.83,Ghana
137,Samuel  Ade,samuel29@company.ng,03/07/2021,528.45,nigeria
132,AbdulKhan,abdulkhan7@hotmail.com,31/03/23,222.26,kenya
092,Mary   Ali,mary12@hotmail.com,27/10/22,112.83,Ghana
158,Abdul  Ade,abdul98@yahoo.com,16-10-2023,241.18,GHANA
179,Samuel Ali,samuel29@company.ng,2021/07/34,248.59,kenya
039,PeaceKhan,peacekhan42@mail.com,22-04-2023,230.9,Kenya
011,Samuel John,samuel46@gmail.com,2021/11/13,347.14,Nigeria
010,Daniel Khan,daniel66@hotmail.com,2021/04/22,353.67,nigeria
124,mike  smith, mike69@hotmail.com ,03-01-2022,418.65,Uganda
132,RahmonDoe,rahmondoe81@mail.com,13/08/22,5096.6,South Africa
109,musaali,musaali60@yahoo.com,2023-26-06,316.64,kenya
151,Daniel   John, daniel37@@gmail.com ,2022/03/15,171.43,Nigeria
073,peace  mensah,peace42@hotmail.com,29/01/24,564.82,kenya
155,JohnOladipo, johnoladipo70@mailcom ,25-01-2023,317.6,NIGERIA
083,Musa!!!John,musajohn11@yahoo.com,07/05/2023,128.55,ghana
109,Jennifer   John,jennifer72@company.ng,2022-21-09,306.84,Ghana
001,JenniferJohn,jenniferjohn31@@hotmail.com,23-09-2023,415.12,NIGERIA
053,samueldoe,samueldoe6@hotmail.com,05-04-2021,427.44,Uganda
070,Peace  Khan,peace45@mail.com, 02-03-2023 ,313.76,nigeria
015,DanielAmusa,danielamusa43@yahoo.com,26-01-2022,345.23,South Africa
091,gracemensah,gracemensah37@company.ng,22/11/22,249.82,Kenya
081,Grace  Rahman, grace9@yahoo.com ,2022/03/13,114.46,Ghana
091,jennifer   amusa,jennifer47@mail.com,29/05/24,224.74,ghana
160,Abdul  Oladipo,abdul83@company.ng,11/20/2022,372.37,Uganda
073,Samuel   Khan,samuel59@yahoo.com,2021-07-08,-3.77,Uganda
059,Samuel!Khan,samuelkhan20@mailcom,04/09/24,334.84,Ghana
116,Jane@@Okoro,janeokoro71@hotmail.com,15/10/21,384.12,ghana
133,Daniel Otto,daniel20@mail.com,2024/08/10,308.73,kenya
019,Jennifer   Ade,jennifer3@hotmailcom,2021-10-05,252.71,Uganda
001,mustymensah,mustymensah55@company.ng,2024-21-04,190.45,Ghana
038,jane  otto,jane34@hotmail.com,2024-13-02,153.8,Nigeria
147,DanielAli,danielali9@yahoo.com,01/10/2023,215.06,kenya
121,JohnRahman,johnrahman48@mail.com,09-02-2023,12.18,nigeria
096,Peace Otto,peace35@gmail.com,28/05/22,454.87,kenya
096,JenniferJohn,jenniferjohn63@hotmail.com,2024/03/27,181.12,NIGERIA
030,AishaJohn,aishajohn37@companyng,2023/02/20,159.33,Uganda
038,Mary   Doe,mary58@mailcom,2021-03-11,1.86,South Africa
049,Samuel   Amusa,samuel64@yahoo.com,01/25/2021,378.29,nigeria
110,MikeOkoro,mikeokoro78@hotmail.com,12/29/2024,228.12,ghana
126,mary khan,mary98@@gmail.com,06-11-2021,412.79,GHANA
076,AbdulAli,abdulali98@company.ng,2024-01-08,536.88,NIGERIA
049,Mary  Khan,mary52@company.ng,08/29/2022,266.48,GHANA
042,Samuel Okoro,samuel51@mail.com,13-05-2022,577.84,GHANA
146,Samuel Amusa,samuel84@company.ng,14-12-2021,310.13,South Africa
087,Jane Smith,jane90@mail.com,2024-28-08,233.99,Ghana
102,samuel ade,samuel83@yahoo.com,2021-15-09,253.62,South Africa
140,mikeali, mikeali2@gmail.com ,11/04/2023,344.55,Ghana
035,aisha amusa,aisha32@yahoo.com,16/03/23,496.07,Ghana
030,Abdul      Rahman,abdul58@company.ng,18-06-2021,-77.24,Ghana
105,Peace Okoro,peace27@@company.ng,2021-08-03,619.96,ghana
175,Samuel Ali,samuel46@gmail.com,2022-05-04,377.26,Nigeria
110,Mike@Okoro, mikeokoro88@company.ng ,2023/05/15,417.27,Ghana
027,Musty  Smith,musty22@hotmail.com,19/13/22,186.94,Nigeria
071,Mary   Mensah,mary75@company.ng, 29-02-2024 ,445.3,GHANA
097,Abdul  Ali,abdul20@mail.com,2023-25-12,401.94,NIGERIA
066,samuel  john,samuel91@company.ng,25-03-2023,450.53,ghana
073,Abdul   Smith,abdul13@mail.com, 02/21/2022 ,124.7,Nigeria
069,jennifer  doe,jennifer70@hotmail.com,2023-04-03,341.5,South Africa
024,Mike   Oladipo,mike46@gmail.com,04/22/2022,490.04,kenya
058,john  mensah,john45@hotmail.com,26-02-2021,88.15,Nigeria
036,AishaOkoro,aishaokoro36@yahoo.com,07-08-2022,101.93,NIGERIA
078,Jane  Doe, jane64@gmail.com ,10/22/2021,267.05,Ghana
072,Peace Khan,peace88@gmail.com,2022-05-12,491.65,nigeria
164,Musty   Ade,,2024-29-06,353.55,Kenya
174,Jennifer!!!Doe,jenniferdoe93@hotmail.com,2021-16-06,534.7,ghana
003,Mike   Khan,mike15@hotmail.com,03/08/2022,215.66,Nigeria
025,Mike   Amusa,mike8@gmail.com,2022-25-01,230.49,Ghana
143,Abdul Khan,abdul60@hotmail.com,19/10/21,317.03,GHANA
122,Rahmon Mensah,rahmon72@companyng,2024-23-10,119.96,Uganda
122,Rahmon   Doe,rahmon93@hotmail.com,2024-04-09,300.77,GHANA
057,Grace Ali,grace45@hotmail.com,10/27/2021,203.23,Kenya
088,Musa   John,musa35@mail.com,03/12/23,4575.2,Uganda
031,Daniel  Amusa,daniel76@hotmail.com,2021/07/23,100.77,NIGERIA
024,Mike@@@Amusa,,2021/06/04,148.08,Kenya
040,Musty Amusa,musty5@hotmail.com,13-01-2023,174.12,Nigeria
063,PeaceJohn,,01/15/2024,-131.95,ghana
046,Mary   Mensah,mary23@company.ng,09/05/2022,7.19,NIGERIA
147,AbdulOtto,abdulotto80@yahoo.com,2021/08/05,354.25,nigeria
009,AishaMensah,aishamensah27@yahoo.com,2021/04/10,309.03,Nigeria
161,PeaceSmith,peacesmith42@company.ng,06/25/2023,354.21,kenya
011,GraceKhan,gracekhan54@gmail.com,2023/07/31,297.98,NIGERIA
049,Grace  Otto,grace65@hotmail.com,25-08-2022,407.1,Kenya
040,JaneAli,janeali58@yahoo.com,11/06/2024,398.48,nigeria
038,"""Aisha  Otto""",aisha81@yahoo.com,2024-26-02,429.86,Uganda
111,MaryMensah,marymensah11@gmail.com,03/09/2023,628.57,Uganda
046,SamuelJohn,samueljohn21@hotmail.com,2022/04/01,163.8,South Africa
153,John  Khan, john28@yahoo.com ,2022-20-07,262.11,kenya
010,mary   otto,mary18@company.ng,2022-05-09,339.16,Uganda
177,GraceOtto,graceotto8@yahoo.com,12/12/2024,334.12,Ghana
053,Daniel   Smith,daniel9@hotmail.com,20-08-2024,371.04,Kenya
067,Samuel  Smith,samuel26@mail.com,01-07-2023,349.31,Ghana
153,mike rahman,mike99@gmail.com,2021/09/04,544.86,ghana
059,Samuel!Khan,samuelkhan20@mailcom,04/09/24,334.84,Ghana
027,Mary  Okoro,mary4@gmail.com,28-02-2023,151.42,South Africa
014,Samuel Khan,samuel20@@yahoo.com,2024-03-05,85.48,Kenya
098,Abdul   Amusa,abdul80@yahoo.com,07/21/2024,377.07,South Africa
081,Abdul John,abdul87@mail.com,10/05/2022,200.73,South Africa
112,Samuel John,,02/21/2024,215.97,GHANA
039,mary oladipo,mary69@hotmail.com,2024-17-03,518.03,ghana
088,MaryOkoro,maryokoro54@mail.com,2021/05/01,167.42,kenya
169,"""RahmonAli""",rahmonali9@yahoo.com,10/01/23,58.09,nigeria
098,Grace Smith,grace97@gmail.com,29/03/24,175.65,Uganda
173,Peace   Ali,peace10@mail.com,17/11/24,67.4,NIGERIA
020,MaryDoe,marydoe37@yahoo.com,2022-26-06,329.53,Kenya
116,"""samuelotto""",samuelotto3@company.ng, 2021/01/17 ,618.32,kenya
069,Samuel Amusa,samuel98@mail.com,05/15/2021,708.03,GHANA
113,peacedoe,peacedoe21@hotmail.com,06/18/2021,338.98,South Africa
036,Daniel  Rahman,daniel99@company.ng,2024-14-09,669.49,Kenya
010,Abdul@@John,abduljohn44@gmail.com,26-11-2024,260.3,nigeria
067,DanielOladipo,danieloladipo32@company.ng,28/09/23,471.42,NIGERIA
096,aisha  doe,aisha65@mail.com,09/28/2022,211.6,Kenya
017,Samuel  Smith,samuel68@mail.com,2024-12-07,277.23,Uganda
097,Musa Rahman,musa89@company.ng,2023/04/26,437.68,GHANA
175,Abdul   Khan,abdul44@yahoo.com,2022/10/10,289.08,Nigeria
128,Samuel  Ade,samuel32@yahoo.com,10/06/21,427.87,kenya
093,Jennifer!Ade,jenniferade13@yahoo.com,2022/12/29,397.15,Kenya
151,Samuel  Mensah,samuel28@gmail.com,2023/09/08,294.79,nigeria
047,Jennifer   Amusa,jennifer62@yahoo.com,06/40/2022,323.06,nigeria
002,Peace  Rahman,peace98@mail.com, 29/05/23 ,172.98,Nigeria
091,Samuel Amusa,samuel39@yahoo.com,06-03-2021,163.59,Kenya
022,MusaSmith,musasmith19@company.ng,2022/06/26,192.7,South Africa
023,maryade,maryade40@company.ng,12/22/2022,301.53,Nigeria
028,Mary Rahman,mary57@hotmail.com,10/06/2021,314.95,ghana
125,Musa  Ade,musa99@company.ng,2024/06/19,423.29,GHANA
